lsoa11cd,index_domain,decile,rank,score,year
E01006092,Barriers to Housing and Services,7,"19,818",17.481,2019
E01006092,Crime,7,"21,056",-0.301,2019
E01006092,"Education, Skills and Training",2,"4,572",43.269,2019
E01006092,Employment,2,"4,686",0.174,2019
E01006092,Health Deprivation and Disability,2,"6,060",0.783,2019
E01006092,Income,2,"5,413",0.222,2019
E01006092,Income Deprivation Affecting Children,3,"8,267",0.227,2019
E01006092,Income Deprivation Affecting Older People,2,"5,002",0.293,2019
E01006092,Index of Multiple Deprivation,3,"7,100",31.961,2019
E01006092,Living Environment,9,"28,358",5.956,2019
E01006093,Barriers to Housing and Services,10,"32,084",4.854,2019
E01006093,Crime,10,"30,663",-1.237,2019
E01006093,"Education, Skills and Training",10,"30,461",2.362,2019
E01006093,Employment,10,"31,803",0.024,2019
E01006093,Health Deprivation and Disability,8,"23,744",-0.525,2019
E01006093,Income,10,"29,591",0.036,2019
E01006093,Income Deprivation Affecting Children,10,"31,267",0.026,2019
E01006093,Income Deprivation Affecting Older People,8,"23,457",0.079,2019
E01006093,Index of Multiple Deprivation,10,"31,007",4.508,2019
E01006093,Living Environment,4,"10,441",27.15,2019
E01006094,Barriers to Housing and Services,9,"28,852",9.739,2019
E01006094,Crime,8,"25,860",-0.669,2019
E01006094,"Education, Skills and Training",10,"30,975",1.925,2019
E01006094,Employment,9,"27,344",0.042,2019
E01006094,Health Deprivation and Disability,7,"21,437",-0.349,2019
E01006094,Income,9,"27,508",0.044,2019
E01006094,Income Deprivation Affecting Children,10,"30,049",0.034,2019
E01006094,Income Deprivation Affecting Older People,9,"26,797",0.062,2019
E01006094,Index of Multiple Deprivation,9,"29,428",6.038,2019
E01006094,Living Environment,4,"13,023",23.144,2019
E01006095,Barriers to Housing and Services,4,"12,869",23.31,2019
E01006095,Crime,5,"13,924",0.175,2019
E01006095,"Education, Skills and Training",9,"28,099",4.35,2019
E01006095,Employment,9,"26,551",0.044,2019
E01006095,Health Deprivation and Disability,9,"26,744",-0.776,2019
E01006095,Income,8,"25,571",0.052,2019
E01006095,Income Deprivation Affecting Children,8,"25,484",0.061,2019
E01006095,Income Deprivation Affecting Older People,7,"22,878",0.083,2019
E01006095,Index of Multiple Deprivation,9,"26,966",8.088,2019
E01006095,Living Environment,7,"21,838",12.147,2019
E01006096,Barriers to Housing and Services,10,"32,530",3.339,2019
E01006096,Crime,7,"22,555",-0.409,2019
E01006096,"Education, Skills and Training",10,"30,560",2.273,2019
E01006096,Employment,10,"30,863",0.029,2019
E01006096,Health Deprivation and Disability,9,"26,853",-0.786,2019
E01006096,Income,10,"31,277",0.027,2019
E01006096,Income Deprivation Affecting Children,10,"31,553",0.024,2019
E01006096,Income Deprivation Affecting Older People,9,"28,118",0.055,2019
E01006096,Index of Multiple Deprivation,10,"31,677",3.798,2019
E01006096,Living Environment,5,"15,459",19.776,2019
E01006097,Barriers to Housing and Services,9,"26,318",12.225,2019
E01006097,Crime,7,"22,129",-0.377,2019
E01006097,"Education, Skills and Training",10,"32,071",0.955,2019
E01006097,Employment,9,"29,449",0.035,2019
E01006097,Health Deprivation and Disability,8,"25,050",-0.626,2019
E01006097,Income,9,"26,791",0.047,2019
E01006097,Income Deprivation Affecting Children,9,"29,034",0.04,2019
E01006097,Income Deprivation Affecting Older People,7,"22,965",0.082,2019
E01006097,Index of Multiple Deprivation,10,"30,124",5.395,2019
E01006097,Living Environment,5,"15,334",19.95,2019
E01006098,Barriers to Housing and Services,10,"31,620",5.852,2019
E01006098,Crime,8,"26,000",-0.68,2019
E01006098,"Education, Skills and Training",10,"32,566",0.448,2019
E01006098,Employment,9,"28,019",0.039,2019
E01006098,Health Deprivation and Disability,9,"27,030",-0.803,2019
E01006098,Income,10,"31,279",0.027,2019
E01006098,Income Deprivation Affecting Children,10,"32,230",0.016,2019
E01006098,Income Deprivation Affecting Older People,10,"29,635",0.047,2019
E01006098,Index of Multiple Deprivation,10,"31,575",3.927,2019
E01006098,Living Environment,5,"14,805",20.639,2019
E01006099,Barriers to Housing and Services,10,"32,246",4.419,2019
E01006099,Crime,5,"14,352",0.147,2019
E01006099,"Education, Skills and Training",10,"30,087",2.706,2019
E01006099,Employment,9,"26,356",0.045,2019
E01006099,Health Deprivation and Disability,5,"15,780",0.014,2019
E01006099,Income,8,"25,525",0.053,2019
E01006099,Income Deprivation Affecting Children,9,"27,684",0.048,2019
E01006099,Income Deprivation Affecting Older People,7,"21,279",0.092,2019
E01006099,Index of Multiple Deprivation,7,"22,700",11.543,2019
E01006099,Living Environment,1,"3,003",44.562,2019
E01006100,Barriers to Housing and Services,7,"20,723",16.77,2019
E01006100,Crime,8,"24,514",-0.555,2019
E01006100,"Education, Skills and Training",10,"30,655",2.206,2019
E01006100,Employment,7,"19,842",0.066,2019
E01006100,Health Deprivation and Disability,7,"20,453",-0.287,2019
E01006100,Income,8,"23,954",0.059,2019
E01006100,Income Deprivation Affecting Children,10,"32,118",0.018,2019
E01006100,Income Deprivation Affecting Older People,7,"19,755",0.102,2019
E01006100,Index of Multiple Deprivation,8,"25,198",9.449,2019
E01006100,Living Environment,4,"12,437",23.98,2019
E01006101,Barriers to Housing and Services,7,"21,726",15.965,2019
E01006101,Crime,7,"21,761",-0.351,2019
E01006101,"Education, Skills and Training",10,"32,039",0.985,2019
E01006101,Employment,9,"29,304",0.035,2019
E01006101,Health Deprivation and Disability,8,"25,535",-0.666,2019
E01006101,Income,10,"31,880",0.023,2019
E01006101,Income Deprivation Affecting Children,10,"32,767",0.008,2019
E01006101,Income Deprivation Affecting Older People,10,"30,317",0.043,2019
E01006101,Index of Multiple Deprivation,10,"31,319",4.187,2019
E01006101,Living Environment,7,"21,731",12.276,2019
E01006102,Barriers to Housing and Services,10,"30,566",7.661,2019
E01006102,Crime,7,"21,637",-0.343,2019
E01006102,"Education, Skills and Training",9,"26,570",5.639,2019
E01006102,Employment,6,"16,592",0.079,2019
E01006102,Health Deprivation and Disability,6,"18,511",-0.158,2019
E01006102,Income,6,"19,376",0.081,2019
E01006102,Income Deprivation Affecting Children,9,"27,495",0.049,2019
E01006102,Income Deprivation Affecting Older People,5,"13,719",0.154,2019
E01006102,Index of Multiple Deprivation,8,"24,007",10.405,2019
E01006102,Living Environment,7,"22,228",11.749,2019
E01006103,Barriers to Housing and Services,10,"32,448",3.728,2019
E01006103,Crime,9,"27,632",-0.834,2019
E01006103,"Education, Skills and Training",10,"31,688",1.296,2019
E01006103,Employment,10,"30,101",0.032,2019
E01006103,Health Deprivation and Disability,9,"29,290",-1.059,2019
E01006103,Income,10,"31,505",0.026,2019
E01006103,Income Deprivation Affecting Children,10,"31,672",0.023,2019
E01006103,Income Deprivation Affecting Older People,9,"27,612",0.058,2019
E01006103,Index of Multiple Deprivation,10,"32,061",3.257,2019
E01006103,Living Environment,5,"14,268",21.395,2019
E01006104,Barriers to Housing and Services,9,"28,359",10.259,2019
E01006104,Crime,2,"5,654",0.778,2019
E01006104,"Education, Skills and Training",4,"10,625",25.384,2019
E01006104,Employment,2,"5,115",0.168,2019
E01006104,Health Deprivation and Disability,2,"4,545",0.959,2019
E01006104,Income,3,"7,790",0.183,2019
E01006104,Income Deprivation Affecting Children,3,"7,052",0.247,2019
E01006104,Income Deprivation Affecting Older People,4,"11,575",0.179,2019
E01006104,Index of Multiple Deprivation,3,"7,094",31.974,2019
E01006104,Living Environment,4,"11,483",25.491,2019
E01006105,Barriers to Housing and Services,5,"13,158",23.045,2019
E01006105,Crime,1,"3,177",1.046,2019
E01006105,"Education, Skills and Training",1,"3,277",49.836,2019
E01006105,Employment,1,"1,693",0.237,2019
E01006105,Health Deprivation and Disability,1,"3,151",1.152,2019
E01006105,Income,1,"1,221",0.339,2019
E01006105,Income Deprivation Affecting Children,1,"1,754",0.385,2019
E01006105,Income Deprivation Affecting Older People,2,"3,380",0.337,2019
E01006105,Index of Multiple Deprivation,1,"2,097",50.577,2019
E01006105,Living Environment,9,"27,378",6.897,2019
E01006106,Barriers to Housing and Services,7,"22,852",15.106,2019
E01006106,Crime,4,"11,934",0.3,2019
E01006106,"Education, Skills and Training",3,"7,347",33.303,2019
E01006106,Employment,2,"4,897",0.171,2019
E01006106,Health Deprivation and Disability,3,"7,652",0.625,2019
E01006106,Income,2,"5,500",0.22,2019
E01006106,Income Deprivation Affecting Children,2,"4,921",0.289,2019
E01006106,Income Deprivation Affecting Older People,3,"8,605",0.221,2019
E01006106,Index of Multiple Deprivation,3,"7,197",31.714,2019
E01006106,Living Environment,5,"15,945",19.125,2019
E01006107,Barriers to Housing and Services,3,"7,444",29.288,2019
E01006107,Crime,3,"8,985",0.507,2019
E01006107,"Education, Skills and Training",2,"4,832",42.168,2019
E01006107,Employment,2,"3,931",0.186,2019
E01006107,Health Deprivation and Disability,1,"2,401",1.29,2019
E01006107,Income,2,"5,162",0.227,2019
E01006107,Income Deprivation Affecting Children,2,"4,097",0.307,2019
E01006107,Income Deprivation Affecting Older People,3,"7,610",0.238,2019
E01006107,Index of Multiple Deprivation,2,"4,030",40.802,2019
E01006107,Living Environment,5,"13,301",22.754,2019
E01006108,Barriers to Housing and Services,3,"6,653",30.437,2019
E01006108,Crime,1,"2,190",1.208,2019
E01006108,"Education, Skills and Training",1,586,73.296,2019
E01006108,Employment,1,821,0.272,2019
E01006108,Health Deprivation and Disability,1,831,1.717,2019
E01006108,Income,1,487,0.391,2019
E01006108,Income Deprivation Affecting Children,1,805,0.441,2019
E01006108,Income Deprivation Affecting Older People,2,"3,356",0.338,2019
E01006108,Index of Multiple Deprivation,1,490,65.582,2019
E01006108,Living Environment,9,"28,946",5.368,2019
E01006109,Barriers to Housing and Services,4,"10,286",25.882,2019
E01006109,Crime,2,"4,349",0.904,2019
E01006109,"Education, Skills and Training",3,"7,138",33.89,2019
E01006109,Employment,1,572,0.289,2019
E01006109,Health Deprivation and Disability,1,"3,233",1.141,2019
E01006109,Income,1,"1,408",0.331,2019
E01006109,Income Deprivation Affecting Children,2,"4,960",0.288,2019
E01006109,Income Deprivation Affecting Older People,1,709,0.491,2019
E01006109,Index of Multiple Deprivation,1,"1,726",52.996,2019
E01006109,Living Environment,5,"13,571",22.397,2019
E01006110,Barriers to Housing and Services,8,"24,919",13.414,2019
E01006110,Crime,7,"21,008",-0.297,2019
E01006110,"Education, Skills and Training",5,"15,128",18.015,2019
E01006110,Employment,3,"8,694",0.128,2019
E01006110,Health Deprivation and Disability,4,"11,821",0.286,2019
E01006110,Income,2,"6,057",0.21,2019
E01006110,Income Deprivation Affecting Children,3,"6,674",0.255,2019
E01006110,Income Deprivation Affecting Older People,2,"4,709",0.3,2019
E01006110,Index of Multiple Deprivation,4,"10,527",25.375,2019
E01006110,Living Environment,3,"6,915",33.578,2019
E01006111,Barriers to Housing and Services,6,"18,507",18.485,2019
E01006111,Crime,5,"15,961",0.046,2019
E01006111,"Education, Skills and Training",3,"9,607",27.495,2019
E01006111,Employment,2,"4,000",0.185,2019
E01006111,Health Deprivation and Disability,3,"8,246",0.574,2019
E01006111,Income,1,"1,538",0.325,2019
E01006111,Income Deprivation Affecting Children,1,"2,730",0.346,2019
E01006111,Income Deprivation Affecting Older People,1,477,0.528,2019
E01006111,Index of Multiple Deprivation,2,"5,086",37.381,2019
E01006111,Living Environment,5,"14,643",20.875,2019
E01006112,Barriers to Housing and Services,6,"17,789",19.067,2019
E01006112,Crime,2,"3,362",1.021,2019
E01006112,"Education, Skills and Training",3,"9,386",28.034,2019
E01006112,Employment,2,"3,396",0.195,2019
E01006112,Health Deprivation and Disability,2,"3,545",1.097,2019
E01006112,Income,1,"1,857",0.313,2019
E01006112,Income Deprivation Affecting Children,2,"4,681",0.293,2019
E01006112,Income Deprivation Affecting Older People,1,298,0.568,2019
E01006112,Index of Multiple Deprivation,2,"3,436",43.158,2019
E01006112,Living Environment,5,"14,024",21.726,2019
E01006113,Barriers to Housing and Services,10,"29,607",8.885,2019
E01006113,Crime,4,"10,664",0.386,2019
E01006113,"Education, Skills and Training",7,"22,301",9.569,2019
E01006113,Employment,4,"11,014",0.11,2019
E01006113,Health Deprivation and Disability,4,"11,703",0.295,2019
E01006113,Income,3,"7,559",0.187,2019
E01006113,Income Deprivation Affecting Children,5,"16,362",0.127,2019
E01006113,Income Deprivation Affecting Older People,1,"3,268",0.341,2019
E01006113,Index of Multiple Deprivation,4,"12,625",22.193,2019
E01006113,Living Environment,4,"10,401",27.228,2019
E01006114,Barriers to Housing and Services,7,"22,264",15.573,2019
E01006114,Crime,4,"10,704",0.383,2019
E01006114,"Education, Skills and Training",4,"12,640",21.85,2019
E01006114,Employment,2,"5,601",0.162,2019
E01006114,Health Deprivation and Disability,4,"10,747",0.368,2019
E01006114,Income,2,"4,500",0.24,2019
E01006114,Income Deprivation Affecting Children,2,"5,369",0.279,2019
E01006114,Income Deprivation Affecting Older People,1,"2,741",0.362,2019
E01006114,Index of Multiple Deprivation,3,"8,268",29.485,2019
E01006114,Living Environment,6,"17,572",17.016,2019
E01006115,Barriers to Housing and Services,7,"22,780",15.166,2019
E01006115,Crime,4,"11,179",0.349,2019
E01006115,"Education, Skills and Training",7,"20,135",11.81,2019
E01006115,Employment,3,"6,885",0.146,2019
E01006115,Health Deprivation and Disability,2,"5,729",0.82,2019
E01006115,Income,2,"4,225",0.246,2019
E01006115,Income Deprivation Affecting Children,4,"10,687",0.191,2019
E01006115,Income Deprivation Affecting Older People,1,"3,005",0.351,2019
E01006115,Index of Multiple Deprivation,3,"7,568",30.972,2019
E01006115,Living Environment,3,"7,034",33.341,2019
E01006116,Barriers to Housing and Services,10,"31,002",6.948,2019
E01006116,Crime,9,"28,853",-0.97,2019
E01006116,"Education, Skills and Training",7,"21,349",10.517,2019
E01006116,Employment,7,"21,920",0.059,2019
E01006116,Health Deprivation and Disability,6,"18,406",-0.151,2019
E01006116,Income,8,"25,616",0.052,2019
E01006116,Income Deprivation Affecting Children,9,"28,032",0.046,2019
E01006116,Income Deprivation Affecting Older People,7,"22,749",0.083,2019
E01006116,Index of Multiple Deprivation,8,"23,461",10.886,2019
E01006116,Living Environment,2,"4,509",39.279,2019
E01006117,Barriers to Housing and Services,10,"31,924",5.245,2019
E01006117,Crime,7,"20,552",-0.266,2019
E01006117,"Education, Skills and Training",8,"25,409",6.673,2019
E01006117,Employment,8,"25,771",0.047,2019
E01006117,Health Deprivation and Disability,7,"21,296",-0.34,2019
E01006117,Income,9,"29,066",0.038,2019
E01006117,Income Deprivation Affecting Children,10,"31,334",0.025,2019
E01006117,Income Deprivation Affecting Older People,9,"28,179",0.055,2019
E01006117,Index of Multiple Deprivation,9,"29,209",6.201,2019
E01006117,Living Environment,6,"18,696",15.655,2019
E01006118,Barriers to Housing and Services,9,"28,556",10.052,2019
E01006118,Crime,8,"25,050",-0.597,2019
E01006118,"Education, Skills and Training",6,"19,100",12.932,2019
E01006118,Employment,3,"9,237",0.124,2019
E01006118,Health Deprivation and Disability,3,"7,729",0.619,2019
E01006118,Income,4,"10,068",0.155,2019
E01006118,Income Deprivation Affecting Children,5,"14,154",0.149,2019
E01006118,Income Deprivation Affecting Older People,3,"8,118",0.229,2019
E01006118,Index of Multiple Deprivation,5,"13,887",20.559,2019
E01006118,Living Environment,6,"17,641",16.935,2019
E01006119,Barriers to Housing and Services,10,"31,311",6.417,2019
E01006119,Crime,6,"16,761",-0.005,2019
E01006119,"Education, Skills and Training",7,"22,608",9.267,2019
E01006119,Employment,8,"23,432",0.054,2019
E01006119,Health Deprivation and Disability,8,"23,578",-0.512,2019
E01006119,Income,8,"25,737",0.052,2019
E01006119,Income Deprivation Affecting Children,8,"24,426",0.067,2019
E01006119,Income Deprivation Affecting Older People,8,"25,840",0.067,2019
E01006119,Index of Multiple Deprivation,9,"26,835",8.195,2019
E01006119,Living Environment,5,"15,607",19.594,2019
E01006120,Barriers to Housing and Services,10,"32,548",3.267,2019
E01006120,Crime,7,"22,403",-0.397,2019
E01006120,"Education, Skills and Training",9,"27,581",4.774,2019
E01006120,Employment,7,"21,795",0.059,2019
E01006120,Health Deprivation and Disability,7,"21,184",-0.334,2019
E01006120,Income,9,"28,018",0.042,2019
E01006120,Income Deprivation Affecting Children,10,"29,975",0.035,2019
E01006120,Income Deprivation Affecting Older People,9,"29,383",0.048,2019
E01006120,Index of Multiple Deprivation,9,"27,739",7.458,2019
E01006120,Living Environment,5,"13,526",22.448,2019
E01006121,Barriers to Housing and Services,6,"17,457",19.344,2019
E01006121,Crime,6,"17,818",-0.078,2019
E01006121,"Education, Skills and Training",5,"13,357",20.652,2019
E01006121,Employment,4,"12,835",0.098,2019
E01006121,Health Deprivation and Disability,4,"12,272",0.254,2019
E01006121,Income,6,"18,064",0.089,2019
E01006121,Income Deprivation Affecting Children,7,"21,548",0.085,2019
E01006121,Income Deprivation Affecting Older People,6,"18,061",0.114,2019
E01006121,Index of Multiple Deprivation,5,"15,860",18.313,2019
E01006121,Living Environment,4,"11,606",25.27,2019
E01006122,Barriers to Housing and Services,7,"20,018",17.327,2019
E01006122,Crime,8,"25,260",-0.615,2019
E01006122,"Education, Skills and Training",8,"23,908",8.027,2019
E01006122,Employment,6,"18,810",0.07,2019
E01006122,Health Deprivation and Disability,6,"18,804",-0.178,2019
E01006122,Income,8,"25,652",0.052,2019
E01006122,Income Deprivation Affecting Children,9,"26,835",0.053,2019
E01006122,Income Deprivation Affecting Older People,9,"27,136",0.06,2019
E01006122,Index of Multiple Deprivation,8,"25,535",9.198,2019
E01006122,Living Environment,7,"22,100",11.874,2019
